temperature,humidity,activity,heart_rate,disease
38.29,60.7,3,97,healthy
39.29,75.17,7,126,sick
38.95,81.74,5,121,sick
38.21,83.04,7,98,healthy
39.33,68.08,0,96,sick
38.92,59.28,5,67,healthy
39.27,76.5,0,111,sick
39.14,55.04,0,92,sick
38.12,67.56,7,101,healthy
38.31,59.34,6,86,healthy
39.22,71.27,2,67,healthy
39.13,54.62,5,82,healthy
38.69,52.66,8,123,sick
38.78,81.73,6,79,healthy
39.59,49.07,2,75,healthy
38.29,65.24,5,76,healthy
39.08,53.83,3,78,healthy
38.56,46.56,2,67,healthy
38.55,46.44,8,97,healthy
39.47,52.01,9,97,healthy
39.28,79.67,1,112,sick
39.27,56.3,0,90,sick
39.61,83.02,1,103,sick
38.71,68.26,6,119,sick
39.18,62.46,9,76,healthy
38.48,68.2,0,98,sick
38.93,65.67,5,101,healthy
38.61,75.35,6,107,healthy
38.77,56.3,8,71,healthy
39.12,59.12,7,77,healthy
38.13,80.76,5,65,healthy
40.16,82.86,2,102,sick
38.0,80.7,7,94,healthy
37.85,61.78,6,113,sick
39.51,76.21,2,121,sick
39.25,64.05,8,128,sick
39.14,64.9,1,75,sick
39.14,53.19,2,67,healthy
38.69,68.65,1,90,sick
38.07,52.45,0,69,sick
38.75,58.26,3,115,sick
38.23,79.2,4,129,sick
39.38,53.28,5,79,healthy
38.6,47.85,4,64,healthy
38.12,47.76,0,82,sick
38.48,82.63,2,68,healthy
38.99,65.28,0,117,sick
38.31,61.38,4,118,sick
38.12,77.44,4,113,sick
38.87,78.43,5,105,healthy
38.87,58.29,7,81,healthy
38.35,72.74,9,123,sick
38.37,75.84,0,67,sick
38.86,71.19,3,79,healthy
37.69,51.06,9,110,healthy
37.71,80.04,0,98,sick
38.2,66.56,8,96,healthy
38.55,56.3,6,109,healthy
38.92,62.01,6,93,healthy
39.73,46.5,4,92,healthy
39.3,50.11,6,90,healthy
38.59,75.62,1,113,sick
38.69,45.0,3,103,healthy
38.0,61.66,6,93,healthy
38.69,65.9,2,121,sick
38.5,47.19,1,82,sick
38.93,83.92,9,105,healthy
38.12,54.05,1,115,sick
39.06,57.17,0,66,sick
39.77,57.16,4,120,sick
38.62,54.22,5,62,healthy
38.98,45.06,5,97,healthy
39.18,74.17,8,93,healthy
38.42,83.67,3,103,healthy
38.86,53.97,0,89,sick
38.71,71.52,5,76,healthy
38.77,74.68,4,118,sick
38.16,78.94,9,69,healthy
38.72,61.91,5,77,healthy
39.05,57.12,2,104,healthy
39.72,58.01,1,118,sick
39.37,73.5,5,121,sick
40.21,77.67,0,118,sick
38.16,52.26,6,108,healthy
39.31,59.84,6,122,sick
38.83,81.08,9,91,healthy
40.23,77.27,6,69,sick
38.13,84.39,9,70,healthy
38.11,75.17,0,129,sick
38.28,60.73,3,121,sick
37.21,68.63,6,106,healthy
38.33,71.44,8,93,healthy
38.17,48.14,4,76,healthy
38.81,66.78,1,113,sick
38.94,73.37,6,99,healthy
40.01,51.69,9,78,sick
39.37,76.23,0,126,sick
38.3,68.35,6,112,sick
38.07,83.09,5,123,sick
39.04,46.7,6,106,healthy
37.78,55.61,9,65,healthy
39.98,69.06,2,75,healthy
39.53,56.86,2,77,healthy
38.37,73.58,6,111,sick
37.5,75.36,1,107,sick
39.65,49.1,0,102,sick
38.62,65.55,8,98,healthy
39.57,65.36,8,108,healthy
37.58,59.77,6,71,healthy
38.28,82.32,6,69,healthy
38.7,78.1,2,114,sick
38.73,72.89,9,60,healthy
38.38,73.57,1,108,sick
39.14,63.47,6,95,healthy
37.95,81.84,8,80,healthy
38.6,72.78,0,96,sick
38.78,74.16,3,83,healthy
39.06,79.47,5,114,sick
39.2,55.96,6,84,healthy
37.91,77.28,9,66,healthy
37.63,52.81,6,83,healthy
39.59,58.81,9,70,healthy
38.93,58.42,1,71,sick
38.18,84.14,3,94,healthy
39.79,79.26,4,122,sick
38.78,73.05,0,127,sick
39.53,74.08,0,116,sick
38.75,67.48,9,72,healthy
40.14,82.88,2,82,sick
39.93,64.85,9,98,healthy
38.53,60.22,2,71,healthy
39.38,51.52,7,93,healthy
39.15,76.45,8,90,healthy
39.66,74.38,0,121,sick
38.02,60.37,1,72,sick
39.18,46.01,9,90,healthy
39.44,78.56,1,61,sick
37.47,45.46,3,74,healthy
37.87,73.15,1,116,sick
37.27,83.81,6,93,healthy
38.51,62.51,8,127,sick
39.2,54.4,6,88,healthy
39.75,73.19,5,125,sick
38.75,77.69,9,75,healthy
39.84,66.86,0,98,sick
37.73,83.68,9,96,healthy
37.51,47.07,8,80,healthy
38.66,65.19,4,103,healthy
38.97,73.74,4,78,healthy
38.68,79.51,5,67,healthy
37.25,52.17,8,125,sick
38.64,77.0,7,100,healthy
37.79,67.11,7,129,sick
39.17,60.86,7,120,sick
38.96,50.27,0,85,sick
38.04,79.61,0,129,sick
38.34,51.29,7,88,healthy
37.96,57.39,4,125,sick
38.66,56.6,8,78,healthy
39.37,79.86,1,127,sick
38.01,71.91,8,117,sick
39.05,76.87,7,129,sick
38.33,55.02,8,116,sick
38.14,69.99,3,96,healthy
38.63,67.87,0,120,sick
37.98,78.31,0,89,sick
38.31,81.24,4,84,healthy
37.86,45.49,1,124,sick
40.08,71.96,7,65,sick
38.72,47.07,9,77,healthy
38.21,66.95,4,69,healthy
38.85,56.51,4,70,healthy
38.62,57.27,1,124,sick
38.55,59.12,6,124,sick
39.13,69.85,7,111,sick
39.23,58.36,9,126,sick
38.33,74.31,0,90,sick
38.3,61.18,1,76,sick
38.51,47.73,9,114,sick
37.09,76.35,3,95,healthy
37.64,56.43,4,85,healthy
39.66,62.31,1,112,sick
39.85,72.42,0,76,sick
38.53,58.3,8,84,healthy
39.1,47.26,0,61,sick
38.92,59.96,3,64,healthy
40.86,82.78,1,63,sick
39.48,70.67,3,95,healthy
38.61,71.86,7,65,healthy
38.03,70.29,7,80,healthy
37.58,52.96,8,85,healthy
38.84,61.73,4,114,sick
38.17,75.04,6,98,healthy
37.7,49.05,2,92,healthy
38.25,56.11,9,73,healthy
37.94,56.05,3,115,sick
39.88,62.28,9,80,healthy
39.32,84.21,8,105,healthy
38.69,47.7,9,75,healthy
39.74,65.75,9,75,healthy
38.75,52.17,0,88,sick
38.1,83.83,1,67,sick
39.77,49.53,4,62,healthy
39.08,61.14,2,78,healthy
37.97,74.52,1,125,sick
38.57,73.18,0,81,sick
38.09,61.91,9,105,healthy
37.73,58.86,2,72,healthy
39.35,60.9,0,92,sick
40.04,55.57,0,64,sick
37.72,53.21,0,86,sick
39.09,64.32,7,83,healthy
38.24,55.74,2,126,sick
38.36,56.5,0,122,sick
38.29,71.27,6,107,healthy
38.1,83.74,9,122,sick
38.73,69.15,2,71,healthy
38.12,48.08,7,87,healthy
38.89,48.02,3,103,healthy
38.66,83.06,3,102,healthy
38.53,56.89,4,76,healthy
38.06,48.68,5,99,healthy
38.3,68.96,6,108,healthy
39.23,69.95,3,116,sick
39.05,70.94,7,123,sick
38.02,55.7,5,116,sick
38.77,45.6,0,129,sick
39.23,83.6,0,102,sick
37.53,55.04,8,82,healthy
39.08,72.04,9,86,healthy
38.24,73.27,5,117,sick
39.1,69.4,9,96,healthy
38.17,57.52,7,65,healthy
37.44,55.84,6,124,sick
37.56,68.91,5,65,healthy
38.73,79.64,3,109,healthy
38.88,82.87,6,81,healthy
38.07,49.24,8,84,healthy
39.15,51.19,9,110,healthy
37.54,82.79,9,107,healthy
38.65,74.46,6,129,sick
37.85,80.32,0,124,sick
38.24,53.11,9,119,sick
38.73,68.5,8,105,healthy
38.1,73.05,3,95,healthy
38.43,72.2,2,117,sick
39.4,61.33,3,97,healthy
38.3,45.62,3,70,healthy
39.28,68.32,9,71,healthy
37.91,55.12,1,101,sick
39.07,63.01,0,98,sick
39.71,83.3,9,70,healthy
36.97,60.96,0,95,sick
38.14,78.59,7,111,sick
39.1,52.54,1,90,sick
38.56,71.9,9,92,healthy
38.96,84.08,4,72,healthy
38.28,49.08,3,77,healthy
38.76,45.33,7,100,healthy
38.59,62.34,1,117,sick
39.52,48.71,9,115,sick
38.88,74.94,8,83,healthy
38.94,81.58,6,90,healthy
38.41,62.36,6,114,sick
38.36,55.35,0,69,sick
38.4,62.38,1,119,sick
38.98,73.94,3,61,healthy
38.41,45.36,3,74,healthy
38.9,68.58,2,62,healthy
40.15,69.53,6,102,sick
39.31,70.51,7,90,healthy
38.47,54.68,1,129,sick
39.54,73.56,3,126,sick
38.41,48.66,2,115,sick
37.27,52.97,1,122,sick
37.99,80.1,5,74,healthy
37.39,74.55,3,69,healthy
38.45,45.55,5,97,healthy
38.71,54.94,1,106,sick
39.87,53.58,3,116,sick
38.93,55.83,5,109,healthy
38.55,54.9,4,74,healthy
39.28,47.5,2,77,healthy
37.15,63.36,7,61,healthy
38.86,74.31,6,102,healthy
39.24,69.27,2,85,healthy
37.66,71.91,5,97,healthy
39.5,48.25,3,101,healthy
38.94,83.06,4,64,healthy
38.41,78.54,4,70,healthy
39.14,77.2,6,124,sick
40.29,77.92,4,93,sick
38.83,82.31,2,60,healthy
38.87,66.77,9,61,healthy
38.38,53.01,4,79,healthy
38.11,69.67,6,120,sick
39.28,74.72,4,80,healthy
38.1,74.52,4,127,sick
38.75,65.86,8,71,healthy
38.37,47.74,2,81,healthy
39.04,59.84,5,79,healthy
38.93,81.83,0,60,sick
39.43,68.38,9,89,healthy
38.34,66.53,4,83,healthy
38.51,55.75,7,73,healthy
38.01,59.74,4,95,healthy
38.39,80.81,8,128,sick
38.96,71.66,5,83,healthy
39.23,76.5,7,119,sick
38.05,63.17,9,114,sick
39.31,70.21,7,83,healthy
39.65,54.94,2,83,healthy
38.99,73.22,6,113,sick
40.01,62.1,6,85,sick
38.16,62.7,9,125,sick
37.83,70.97,5,97,healthy
37.45,82.45,6,124,sick
39.75,47.56,1,110,sick
39.16,77.99,8,94,healthy
38.66,56.7,9,102,healthy
38.9,62.76,9,88,healthy
37.91,45.88,0,96,sick
40.41,57.04,0,117,sick
38.79,65.11,2,113,sick
38.78,47.25,2,98,healthy
39.21,64.64,0,101,sick
39.04,82.08,6,87,healthy
38.86,49.22,3,88,healthy
38.15,75.58,9,102,healthy
39.03,61.39,1,62,sick
40.02,71.21,9,69,sick
39.64,55.41,4,118,sick
39.82,51.38,5,73,healthy
38.34,51.42,8,106,healthy
38.01,47.82,3,101,healthy
38.61,52.43,1,91,sick
38.74,71.57,4,91,healthy
39.47,80.27,2,101,healthy
37.52,77.57,1,91,sick
39.77,72.41,0,85,sick
38.59,49.42,9,60,healthy
38.4,56.57,1,115,sick
37.99,57.39,5,61,healthy
37.54,55.0,7,89,healthy
39.28,65.6,2,111,sick
38.75,66.42,8,68,healthy
37.8,59.28,8,81,healthy
37.79,59.15,1,93,sick
38.46,78.14,7,108,healthy
39.87,76.57,9,60,healthy
38.52,57.31,4,112,sick
37.65,81.55,3,99,healthy
38.53,83.11,9,104,healthy
38.51,58.07,4,127,sick
36.81,59.18,3,68,healthy
38.66,65.23,7,81,healthy
38.54,82.64,3,77,healthy
39.19,80.05,9,102,healthy
39.99,49.1,5,98,healthy
39.49,60.71,1,65,sick
38.51,67.13,4,107,healthy
37.93,65.13,5,66,healthy
40.5,52.75,4,128,sick
38.74,79.35,1,75,sick
38.71,72.08,6,60,healthy
38.68,78.52,3,96,healthy
38.84,79.35,7,96,healthy
38.6,74.93,6,123,sick
38.3,62.57,6,121,sick
38.32,69.42,8,120,sick
38.68,51.41,0,92,sick
38.32,71.95,9,125,sick
38.2,52.17,5,89,healthy
38.77,72.76,5,79,healthy
38.52,54.18,5,119,sick
39.75,49.7,5,83,healthy
36.84,51.61,9,63,healthy
39.46,45.08,6,96,healthy
39.57,73.75,9,63,healthy
37.25,74.3,5,77,healthy
38.46,65.6,0,125,sick
38.44,51.45,2,107,healthy
37.71,48.34,1,92,sick
38.16,45.77,5,117,sick
37.92,51.63,7,87,healthy
39.93,80.63,2,94,healthy
39.35,54.66,9,69,healthy
39.59,59.17,7,124,sick
39.21,49.21,7,101,healthy
37.91,53.89,4,68,healthy
38.33,65.77,7,119,sick
39.04,69.31,5,74,healthy
37.84,54.81,4,116,sick
39.2,47.31,8,128,sick
38.53,60.64,6,81,healthy
38.44,54.37,7,123,sick
39.2,53.78,0,100,sick
39.01,83.39,1,115,sick
38.45,69.65,7,82,healthy
39.51,67.28,8,84,healthy
37.94,61.63,3,65,healthy
39.13,62.16,9,93,healthy
39.12,66.64,9,122,sick
38.48,72.86,8,68,healthy
38.93,73.09,3,119,sick
37.82,51.87,9,108,healthy
39.35,65.0,9,110,healthy
38.57,61.48,9,119,sick
38.33,79.82,8,129,sick
39.43,70.26,6,96,healthy
38.21,66.3,1,90,sick
37.71,49.62,8,100,healthy
37.61,69.23,3,121,sick
39.12,49.69,7,117,sick
37.8,58.49,6,73,healthy
39.93,50.71,6,95,healthy
37.24,72.68,7,95,healthy
39.89,53.25,0,67,sick
38.85,60.67,4,85,healthy
38.63,80.83,1,95,sick
38.32,53.17,1,107,sick
38.98,65.31,0,87,sick
38.67,61.77,4,127,sick
39.47,45.72,1,121,sick
38.78,76.71,3,110,healthy
38.81,47.76,2,101,healthy
38.45,63.97,2,88,healthy
38.66,67.43,1,69,sick
38.92,70.14,5,98,healthy
37.5,72.55,1,60,sick
37.76,55.13,7,98,healthy
39.22,45.4,7,80,healthy
38.82,73.94,4,124,sick
38.57,66.43,9,74,healthy
38.71,78.44,6,63,healthy
38.94,77.86,3,119,sick
38.32,78.73,0,120,sick
38.16,64.4,1,79,sick
38.84,58.35,9,69,healthy
38.02,76.66,9,93,healthy
38.99,63.05,3,107,healthy
37.51,52.34,0,92,sick
39.42,79.2,7,120,sick
39.03,80.3,8,69,healthy
38.88,63.65,3,113,sick
39.39,48.03,9,124,sick
39.87,60.51,2,60,healthy
39.41,77.14,1,64,sick
37.41,81.07,4,74,healthy
37.8,53.14,2,87,healthy
38.26,47.68,9,82,healthy
38.72,80.09,6,76,healthy
39.06,60.58,5,72,healthy
38.19,66.67,0,73,sick
38.83,83.72,7,70,healthy
38.17,47.66,1,87,sick
38.27,70.93,4,101,healthy
37.72,47.96,8,120,sick
38.05,60.02,7,123,sick
37.75,77.15,1,90,sick
38.02,62.34,8,69,healthy
39.44,84.89,4,67,healthy
38.04,67.36,9,80,healthy
40.54,57.85,5,118,sick
39.05,53.8,2,109,healthy
38.83,59.02,2,128,sick
38.1,59.9,9,129,sick
39.19,47.75,7,89,healthy
38.3,59.78,9,76,healthy
38.79,63.57,9,79,healthy
40.49,73.91,1,107,sick
38.63,71.27,1,61,sick
39.5,73.35,4,96,healthy
38.21,45.33,5,60,healthy
38.68,53.71,1,63,sick
39.94,71.47,4,113,sick
38.26,64.36,6,84,healthy
39.97,45.21,9,62,healthy
39.2,77.18,9,68,healthy
38.31,75.91,7,93,healthy
39.14,66.94,6,102,healthy
39.38,47.66,7,81,healthy
39.14,75.66,8,129,sick
37.6,68.35,4,61,healthy
38.19,76.28,4,125,sick
38.53,75.07,9,91,healthy
38.65,77.12,3,75,healthy
39.13,65.72,8,60,healthy
38.82,50.61,4,107,healthy
37.77,71.85,1,109,sick
38.97,69.82,9,72,healthy
39.13,74.69,7,74,healthy
39.09,51.8,6,112,sick
39.46,52.8,7,103,healthy
39.28,80.62,2,67,healthy
39.02,75.0,3,105,healthy
38.65,81.33,4,128,sick
37.54,75.35,5,78,healthy
39.0,68.89,0,97,sick
38.85,71.17,3,70,healthy
38.89,80.57,9,102,healthy
37.81,68.15,4,79,healthy
37.94,70.3,6,79,healthy
39.44,51.26,4,80,healthy
38.67,63.96,0,116,sick
39.18,73.66,6,109,healthy
38.72,55.84,7,85,healthy
38.72,53.09,6,89,healthy
39.36,57.55,3,90,healthy
38.34,54.66,7,101,healthy
38.77,53.6,4,127,sick
38.38,61.99,9,120,sick
38.4,81.31,8,120,sick
38.48,65.28,9,129,sick
38.86,52.52,4,127,sick
38.36,48.08,0,76,sick
39.58,72.85,8,78,healthy
38.07,60.31,4,110,healthy
38.57,77.87,5,129,sick
38.39,71.38,3,122,sick
39.71,76.85,5,89,healthy
38.84,55.88,7,84,healthy
39.42,72.69,2,85,healthy
37.66,55.56,4,115,sick
38.89,82.56,1,81,sick
39.32,70.45,1,78,sick
38.76,57.98,6,90,healthy
39.45,55.78,9,85,healthy
38.34,52.64,9,101,healthy
39.69,72.79,9,100,healthy
40.31,53.75,5,82,sick
38.45,68.81,3,106,healthy
38.39,55.59,4,72,healthy
39.72,71.48,0,125,sick
39.81,77.6,6,125,sick
38.33,76.12,7,75,healthy
38.41,75.43,8,87,healthy
38.5,52.51,7,94,healthy
37.76,48.54,4,100,healthy
38.06,72.96,2,90,healthy
38.0,59.73,9,91,healthy
38.16,62.29,8,113,sick
38.68,46.25,5,118,sick
38.86,55.38,4,100,healthy
39.79,46.35,2,125,sick
38.0,80.17,5,113,sick
39.39,54.74,2,99,healthy
38.55,67.29,9,87,healthy
38.67,46.56,5,96,healthy
39.17,71.67,3,124,sick
37.91,57.92,1,114,sick
38.97,80.92,7,63,healthy
38.82,80.52,3,69,healthy
39.04,58.01,8,106,healthy
38.9,81.04,6,73,healthy
40.42,84.85,1,97,sick
38.25,78.02,3,71,healthy
38.33,78.79,4,104,healthy
38.26,54.96,2,76,healthy
38.31,68.07,8,94,healthy
38.25,47.69,4,125,sick
39.53,48.8,1,100,sick
39.69,84.96,2,126,sick
38.3,58.07,8,88,healthy
38.12,74.93,6,77,healthy
39.03,77.27,1,79,sick
38.31,79.32,8,73,healthy
39.14,84.91,3,93,healthy
38.84,54.66,8,108,healthy
37.64,46.61,1,113,sick
39.78,61.45,9,90,healthy
39.96,50.2,3,117,sick
38.27,45.9,4,101,healthy
38.43,59.42,1,117,sick
38.9,76.35,9,89,healthy
38.93,67.65,0,84,sick
39.16,57.51,6,122,sick
40.11,71.17,9,78,sick
38.58,54.28,0,67,sick
38.14,45.58,7,62,healthy
37.73,75.57,2,126,sick
38.19,69.95,9,76,healthy
38.68,75.49,5,73,healthy
39.96,46.56,6,68,healthy
38.34,78.48,9,121,sick
38.86,69.78,0,80,sick
38.69,67.54,5,96,healthy
39.53,69.98,6,70,healthy
40.47,79.58,5,79,sick
38.33,68.48,3,94,healthy
38.36,68.24,0,112,sick
39.43,84.63,8,106,healthy
39.18,75.27,3,111,sick
39.99,62.69,6,67,healthy
39.11,73.3,6,63,healthy
38.45,60.57,1,86,sick
39.11,54.16,0,103,sick
39.48,68.87,7,99,healthy
39.27,82.13,7,106,healthy
39.06,82.17,6,103,healthy
39.45,58.68,7,107,healthy
39.52,66.11,2,111,sick
39.67,53.47,1,127,sick
39.15,84.83,6,70,healthy
